afwall,ukanth/afwall
AmazeFileManager,arpitkh96/AmazeFileManager
andFHEM,klassm/andFHEM
android-cache-cleaner,Frozen-Developers/android-cache-cleaner
Android-IMSI-Catcher-Detector,CellularPrivacy/Android-IMSI-Catcher-Detector
Android-Password-Store,zeapo/Android-Password-Store
Android-Remote,clementine-player/Android-Remote
andstatus,andstatus/andstatus
Anki-Android,ankidroid/Anki-Android
AnyMemo,helloworld1/AnyMemo
apps-android-wikipedia,wikimedia/apps-android-wikipedia
Atomic,indrora/Atomic
bankdroid,liato/android-bankdroid
berlin-vegan-guide,Berlin-Vegan/berlin-vegan-guide
bitcoin-wallet,schildbach/bitcoin-wallet
book-catalogue,eleybourn/Book-Catalogue
calendar-widget,plusonelabs/calendar-widget
CampFahrplan,tuxmobil/CampFahrplan
chanu,grzegorznittner/chanu
clean-status-bar,emmaguy/clean-status-bar
Clover,Floens/Clover
connectbot,connectbot/connectbot
Conversations,siacs/Conversations
Dictionary,rdoeffinger/Dictionary
document-viewer,SufficientlySecure/document-viewer
duckduckgo,duckduckgo/Android
external_jbirdvegas_mGerrit,JBirdVegas/external_jbirdvegas_mGerrit
Flym,FredJul/Flym
forecastie,martykan/forecastie
Gadgetbridge,Freeyourgadget/Gadgetbridge
gisapp,nextgis/android_gisapp
gobandroid,ligi/gobandroid
hn-android,manmal/hn-android
k-9,k9mail/k-9
kontalk-androidclient,kontalk/androidclient
KISS,Neamar/KISS
Kore,xbmc/Kore
Lightning-Browser,anthonycr/Lightning-Browser
lumicall,opentelecoms-org/lumicall
meeting-room,futurice/meeting-room-tablet
MiMangaNu,raulhaag/MiMangaNu
MozStumbler,mozilla/MozStumbler
nextcloud,nextcloud/android
news-android-app,owncloud/News-Android-App
notepad,openintents/notepad
Omni-Notes,federicoiosue/Omni-Notes
opacclient,opacapp/opacclient
open-event-android,fossasia/open-event-android
OpenBikeSharing,bparmentier/OpenBikeSharing
openbmap,wish7code/openbmap
opentasks,dmfs/opentasks
opentraining,chaosbastler/opentraining
osmeditor4android,MarcusWolschon/osmeditor4android
orWall,EthACKdotOrg/orWall
owncloud,owncloud/android
ownCloud-SMS-App,nerzhul/ownCloud-SMS-App
Pindroid,maxpower47/PinDroid
PixelKnot,guardianproject/PixelKnot
QuasselDroid,sandsmark/QuasselDroid
qksms,moezbhatti/qksms
QuickLyric,QuickLyric/QuickLyric
RedReader,QuantumBadger/RedReader
seadroid,haiwen/seadroid
SGit,sheimi/SGit
share_to_clipboard,tengusw/share_to_clipboard
shoppinglist,openintents/shoppinglist
sigfood,cody82/sigfood
Silence,SilenceIM/Silence
Slide,ccrama/Slide
sls,tgwizard/sls
spacecowboy-NotePad,spacecowboy/NotePad
StockTicker,premnirmal/StockTicker
Subsonic,daneren2005/Subsonic
swiftp,ppareit/swiftp
syncthing,syncthing/syncthing-android
Tachiyomi,inorichi/tachiyomi
tickmate,lordi/tickmate
Timber,naman14/Timber
transdroid,erickok/transdroid
transdroid-search,erickok/transdroid-search
Transistor,y20k/transistor
Transportr,grote/Transportr
TransportsRennes,ybonnel/TransportsRennes
ttrss-reader-fork,nilsbraden/ttrss-reader-fork
Vanilla,vanilla-music/vanilla
wallabag-android-app,wallabag/android-app
Weechat,ubergeek42/weechat-android
WifiAnalyzer,VREMSoftwareDevelopment/WifiAnalyzer
wigle-wifi-wardriving,wiglenet/wigle-wifi-wardriving
wikijourney_app,WikiJourney/wikijourney_app
xabber-android,redsolution/xabber-android
Yaaic,pocmo/Yaaic
